name,sub_categories
"Entryway","{""Shoe Racks"",""Console Tables"",""Benches"",""Swing""}"
"Living","{""Sofas & Sectionals"",""Chairs & Loveseats"",""Accent | Lounge Chairs"",""Daybeds & Diwans"",""Coffee Tables"",""End Tables"",""Ottomans | Stools & Benches"",""Loungers"",""Consoles"",""Media Consoles""}"
"Dining","{""Dining Collections"",""Dining Tables"",""Dining Chairs"",""Dining Benches"",""Bar & Counter Stools"",""Buffet Consoles"",""Bar Cabinets""}"
"Bedroom","{""Beds"",""Nightstands"",""Dressers"",""Armoires | Wardrobes"",""Ottomans & Benches""}"
"Home Office","{""Writing Desk"",""Writing Chair"",""Book Shelves""}"
